DATE,CSUSHPISA
2004-01-01,141.64700000000002
2004-02-01,143.192
2004-03-01,145.058
2004-04-01,146.592
2004-05-01,148.186
2004-06-01,149.851
2004-07-01,151.338
2004-08-01,152.634
2004-09-01,154.18
2004-10-01,155.752
2004-11-01,157.528
2004-12-01,159.33100000000002
2005-01-01,161.289
2005-02-01,163.344
2005-03-01,165.813
2005-04-01,167.502
2005-05-01,169.351
2005-06-01,171.19099999999997
2005-07-01,172.86
2005-08-01,174.442
2005-09-01,176.437
2005-10-01,178.02700000000002
2005-11-01,179.68
2005-12-01,180.91
2006-01-01,182.32
2006-02-01,183.287
2006-03-01,184.365
2006-04-01,184.328
2006-05-01,184.155
2006-06-01,183.507
2006-07-01,183.06599999999997
2006-08-01,182.593
2006-09-01,182.798
2006-10-01,183.197
2006-11-01,183.608
2006-12-01,184.138
2007-01-01,184.516
2007-02-01,184.59799999999998
2007-03-01,184.15
2007-04-01,183.01
2007-05-01,181.6
2007-06-01,180.253
2007-07-01,179.11
2007-08-01,178.11599999999999
2007-09-01,177.55700000000002
2007-10-01,176.623
2007-11-01,175.146
2007-12-01,174.34099999999998
2008-01-01,173.13099999999997
2008-02-01,171.53900000000002
2008-03-01,170.05200000000002
2008-04-01,168.33700000000002
2008-05-01,166.658
2008-06-01,165.016
2008-07-01,163.564
2008-08-01,161.986
2008-09-01,160.30700000000002
2008-10-01,158.326
2008-11-01,156.141
2008-12-01,153.618
2009-01-01,151.506
2009-02-01,150.014
2009-03-01,148.659
2009-04-01,147.947
2009-05-01,147.69299999999998
2009-06-01,148.088
2009-07-01,148.408
2009-08-01,148.27700000000002
2009-09-01,148.024
2009-10-01,147.85
2009-11-01,148.136
2009-12-01,147.93
2010-01-01,147.39600000000002
2010-02-01,145.631
2010-03-01,145.858
2010-04-01,146.401
2010-05-01,146.392
2010-06-01,145.719
2010-07-01,144.987
2010-08-01,143.912
2010-09-01,143.015
2010-10-01,142.526
2010-11-01,142.167
2010-12-01,142.054
2011-01-01,141.516
2011-02-01,140.343
2011-03-01,139.975
2011-04-01,140.007
2011-05-01,139.903
2011-06-01,139.86
2011-07-01,139.72799999999998
2011-08-01,139.308
2011-09-01,138.667
2011-10-01,137.951
2011-11-01,137.15
2011-12-01,136.672
2012-01-01,136.606
2012-02-01,136.531
2012-03-01,137.90200000000002
2012-04-01,139.151
2012-05-01,140.15200000000002
2012-06-01,141.028
2012-07-01,141.66899999999998
2012-08-01,142.278
2012-09-01,142.906
2012-10-01,143.597
2012-11-01,144.58
2012-12-01,145.497
2013-01-01,146.82299999999998
2013-02-01,147.781
2013-03-01,149.96
2013-04-01,151.517
2013-05-01,152.849
2013-06-01,154.19899999999998
2013-07-01,155.60399999999998
2013-08-01,156.961
2013-09-01,158.22299999999998
2013-10-01,159.239
2013-11-01,160.07299999999998
2013-12-01,160.99200000000002
2014-01-01,161.923
2014-02-01,162.52100000000002
2014-03-01,163.08100000000002
2014-04-01,163.387
2014-05-01,163.655
2014-06-01,164.065
2014-07-01,164.585
2014-08-01,165.21099999999998
2014-09-01,165.90099999999998
2014-10-01,166.637
2014-11-01,167.331
2014-12-01,168.045
2015-01-01,168.625
2015-02-01,169.122
2015-03-01,169.793
2015-04-01,170.292
2015-05-01,170.875
2015-06-01,171.476
2015-07-01,172.146
2015-08-01,172.93
2015-09-01,173.82299999999998
2015-10-01,174.787
2015-11-01,175.733
2015-12-01,176.53599999999997
2016-01-01,177.261
2016-02-01,177.639
2016-03-01,178.15599999999998
2016-04-01,178.757
2016-05-01,179.419
2016-06-01,180.088
2016-07-01,180.847
2016-08-01,181.83599999999998
2016-09-01,182.81
2016-10-01,183.738
2016-11-01,184.748
2016-12-01,185.71
2017-01-01,186.792
2017-02-01,187.31
2017-03-01,187.988
2017-04-01,188.71900000000002
2017-05-01,189.607
2017-06-01,190.516
2017-07-01,191.46200000000002
2017-08-01,192.646
2017-09-01,193.74099999999999
2017-10-01,194.78799999999998
2017-11-01,195.94099999999997
2017-12-01,197.16099999999997
2018-01-01,198.301
2018-02-01,199.22799999999998
2018-03-01,199.96599999999998
2018-04-01,200.66099999999997
2018-05-01,201.424
2018-06-01,202.239
2018-07-01,202.91
2018-08-01,203.65599999999998
2018-09-01,204.313
2018-10-01,205.079
2018-11-01,205.65200000000002
2018-12-01,206.142
2019-01-01,206.535
2019-02-01,206.86
2019-03-01,207.08
2019-04-01,207.533
2019-05-01,208.15
2019-06-01,208.644
2019-07-01,209.24900000000002
2019-08-01,210.023
2019-09-01,210.83599999999998
2019-10-01,211.729
2019-11-01,212.771
2019-12-01,213.938
2020-01-01,215.03099999999998
2020-02-01,215.89700000000002
2020-03-01,216.457
2020-04-01,216.858
2020-05-01,216.99900000000002
2020-06-01,217.577
2020-07-01,219.287
2020-08-01,222.26
2020-09-01,225.72299999999998
2020-10-01,229.649
2020-11-01,233.218
2020-12-01,236.542
2021-01-01,239.68
2021-02-01,242.428
2021-03-01,245.541
2021-04-01,249.125
2021-05-01,253.419
2021-06-01,258.246
2021-07-01,262.616
2021-08-01,266.582
2021-09-01,270.166
2021-10-01,273.546
2021-11-01,277.262
2021-12-01,281.486
2022-01-01,286.172
2022-02-01,291.242
2022-03-01,296.512
2022-04-01,300.584
2022-05-01,303.704
2022-06-01,304.468
2022-07-01,303.505
2022-08-01,301.029
2022-09-01,299.006
2022-10-01,298.612
2022-11-01,298.332
2022-12-01,297.628
2023-01-01,297.43
2023-02-01,297.73900000000003
2023-03-01,298.796
2023-04-01,300.262
2023-05-01,302.48900000000003
2023-06-01,304.343
2023-07-01,306.45099999999996
2023-08-01,308.83
2023-09-01,310.894
2023-10-01,312.756
2023-11-01,313.632
2023-12-01,314.443
2024-01-01,315.728
